#separator:tab
#html:false
      In element notation, A is the [...]	          In element notation, A is the Mass number                Khan Academy Link
       In element notation, Z is the [...]	           In element notation, Z is the atomic number                Khan Academy Link
  [...] is the weighted average of the masses of an element's isotopes	      Atomic weight is the weighted average of the masses of an element's isotopes             Each mass is multiplied by the isotope's natural abundance    Khan Academy Link
  The [... Model] states that an atom is mostly empty space, with electrons orbiting a fixed, positively charged nucleus	      The Rutherford Model states that an atom is mostly empty space, with electrons orbiting a fixed, positively charged nucleus               Khan Academy Link
  According to the [... Model], electrons orbit the nucleus in orbits that have a set size and energy	      According to the Bohr Model, electrons orbit the nucleus in orbits that have a set size and energy                 Khan Academy Link
   The [... Principle] states that it is impossible to know the momentum and position of an electron simultaneously	       The Heisenberg Uncertainty Principle states that it is impossible to know the momentum and position of an electron simultaneously                Khan Academy Link
  [...] states that all orbitals must first have one electron before any orbital can obtain a second electron	      Hund’s Rule states that all orbitals must first have one electron before any orbital can obtain a second electron               Khan Academy Link
  The [... Principle] states that no two electrons can share the same four identical quantum numbers	      The Pauli Exclusion Principle states that no two electrons can share the same four identical quantum numbers             That means, for paired electrons, one must be +1/2 spin and the other -1/2 spin       Khan Academy Link
MileDown::General_Chemistry::Constants Avogadro’s Number = [...]	MileDown::General_Chemistry::Constants     Avogadro’s Number = 6.022 × 1023 = 1 mol              Khan Academy Link
MileDown::General_Chemistry::Constants Planck’s Constant (h) = [...]	MileDown::General_Chemistry::Constants     Planck’s Constant (h) = 6.626 × 10-34 J•s              Khan Academy Link
MileDown::General_Chemistry::Constants Speed of Light (c) = [...]	MileDown::General_Chemistry::Constants     Speed of Light (c) = 3.0 × 108 m/s              Khan Academy Link
MileDown::All_MCAT_Equations::Gen_Chem MileDown::General_Chemistry::Equations MileDown::General_Chemistry::Light::Equations Give the equation for energy of a photon:   [...]	MileDown::All_MCAT_Equations::Gen_Chem MileDown::General_Chemistry::Equations MileDown::General_Chemistry::Light::Equations     Give the equation for energy of a photon:                E = energy of a photonh = Planck’s Constant c = speed of light λ = wavelength f = photon frequency   Khan Academy Link
  Diamagnetic materials are [...] by an external magnetic field	      Diamagnetic materials are repelled by an external magnetic field             All electrons are paired and have opposing spins ↑↓      Khan Academy Link
  Paramagnetic materials are [...] an external magnetic field	      Paramagnetic materials are pulled into an external magnetic field             Contain one or more unpaired electrons with spin ↑       Khan Academy Link
  He is [diamagnetic or paramagnetic]	      He is diamagnetic                Khan Academy Link
  Li is [diamagnetic or paramagnetic]	      Li is paramagnetic                Khan Academy Link
 ::Quantum_Numbers Quantum number [...] is the principal quantum number and gives the electron [...]	" ::Quantum_Numbers     Quantum number n is the principal quantum number and gives the electron energy level or shell number               1, 2, 3, ...   Except for d- and f-orbitals, the shell # matches the row of the periodic table         Khan Academy Link"
 ::Quantum_Numbers Quantum number [...] is the azimuthal quantum number and gives the [...] of an orbital	 ::Quantum_Numbers     Quantum number l is the azimuthal quantum number and gives the 3D shape (subshell) of an orbital              0, 1, 2, …, n-1   0 = s orbital  1 = p orbital 2 = d orbital 3 = f orbital 4 = g orbital         Khan Academy Link
 ::Quantum_Numbers Quantum number [...] is the magnetic quantum number and gives the orbital [...]	 ::Quantum_Numbers     Quantum number ml is the magnetic quantum number and gives the orbital sub-type             Integers -l to +l   The orientation of the electron's orbital with respect to the three axes in space, x, y, and z.          Khan Academy Link
 ::Quantum_Numbers Quantum number [...] is the spin quantum number and gives the [...] of the electron	 ::Quantum_Numbers     Quantum number ms is the spin quantum number and gives the electronic spin of the electron             +1/2 or -1/2         Khan Academy Link
  The maximum number of electrons in a single energy level in terms of principal quantum number = [...]	      The maximum number of electrons in a single energy level in terms of principal quantum number = 2n2            Example: What is the maximum number of electrons that can be in the second energy level?   2n2 = 2(22) = 8 electrons     YouTube Link
 ::Quantum_Numbers The maximum number of electrons in a single subshell in terms of the azimuthal quantum number = [...]	 ::Quantum_Numbers     The maximum number of electrons in a single subshell in terms of the azimuthal quantum number = 4l + 2            The number of orbitals in a subshell = 2l + 1   With a maximum of 2 electrons per orbital, the maximum number of electrons per subshell = 2(2l + 1) = 4l + 2   Example: For the d subshell, we know the mathematical value for d is l = 2   4l + 2 = 4(2) + 2 = 10 electrons at maximum in the d subshell
  A/an [...] is an atom or molecule with an unpaired electron	      A/an free radical is an atom or molecule with an unpaired electron               Khan Academy Link
 ::Quantum_Numbers     The Azimuthal quantum number for this orbital is [...]	 ::Quantum_Numbers         The Azimuthal quantum number for this orbital is 0 = s orbital               YouTube Link
 ::Quantum_Numbers     The Azimuthal quantum number for this orbital is [...]	 ::Quantum_Numbers         The Azimuthal quantum number for this orbital is 1 = p orbital                YouTube Link
 ::Quantum_Numbers     The Azimuthal quantum number for this orbital is [...]	 ::Quantum_Numbers         The Azimuthal quantum number for this orbital is 2 = d orbital                YouTube Link
 ::Quantum_Numbers     The Azimuthal quantum number for this orbital is [...]	 ::Quantum_Numbers         The Azimuthal quantum number for this orbital is 3 = f orbital               YouTube Link
 ::Quantum_Numbers    Give the principal and azimuthal quantum number labels for the periodic table   [...]	 ::Quantum_Numbers        Give the principal and azimuthal quantum number labels for the periodic table                Principal (n) quantum number = 1, 2, 3, ... Azimuthal (l) quantum number =  0, 1, 2, …, n-1   Khan Academy Link
  The [... Principle] states that electrons will fill the lower energy levels before moving to higher energy orbitals	      The Aufbau Principle states that electrons will fill the lower energy levels before moving to higher energy orbitals               Khan Academy Link
MileDown::General_Chemistry::Periodic_Table    The elements in the group labeled with ? are known as [...]	MileDown::General_Chemistry::Periodic_Table        The elements in the group labeled with ? are known as alkali metals                 Khan Academy Link
MileDown::General_Chemistry::Periodic_Table    The elements in the group labeled with ? are known as [...]	MileDown::General_Chemistry::Periodic_Table        The elements in the group labeled with ? are known as alkaline earth metals                Khan Academy Link
MileDown::General_Chemistry::Periodic_Table    The elements in the groups labeled with ? are known as [...]	MileDown::General_Chemistry::Periodic_Table        The elements in the groups labeled with ? are known as transition metals                 Khan Academy Link
MileDown::General_Chemistry::Periodic_Table    The elements in the group labeled with ? are known as [...]	MileDown::General_Chemistry::Periodic_Table        The elements in the group labeled with ? are known as post-transition metals                Khan Academy Link
MileDown::General_Chemistry::Periodic_Table    The elements in the group labeled with ? are known as [...]	MileDown::General_Chemistry::Periodic_Table        The elements in the group labeled with ? are known as metalloids                 Khan Academy Link
MileDown::General_Chemistry::Periodic_Table    The elements in the groups labeled with ? are known as [...]	MileDown::General_Chemistry::Periodic_Table        The elements in the groups labeled with ? are known as non-metals                Khan Academy Link
MileDown::General_Chemistry::Periodic_Table    The elements in the group labeled with ? are known as [...]	MileDown::General_Chemistry::Periodic_Table        The elements in the group labeled with ? are known as halogens                Khan Academy Link
MileDown::General_Chemistry::Periodic_Table    The elements in the group labeled with ? are known as [...]	MileDown::General_Chemistry::Periodic_Table        The elements in the group labeled with ? are known as noble gases                Khan Academy Link
MileDown::General_Chemistry::Periodic_Table    The elements in the groups labeled with ? are known as [...]	MileDown::General_Chemistry::Periodic_Table        The elements in the groups labeled with ? are known as rare earth metals            Lanthanides and Actinides       Khan Academy Link
MileDown::General_Chemistry::Periodic_Table::Periodic_Trends [...] is the attractive positive charge of nuclear protons acting on valence electrons	MileDown::General_Chemistry::Periodic_Table::Periodic_Trends     Zeff is the attractive positive charge of nuclear protons acting on valence electrons             Zeff is always less than the total number of protons present in a nucleus due to the shielding effect from other electrons in the atom      YouTube Link
MileDown::General_Chemistry::Periodic_Table::Periodic_Trends   What is the periodic trend for effective nuclear charge?   [...]	MileDown::General_Chemistry::Periodic_Table::Periodic_Trends       What is the periodic trend for effective nuclear charge?               YouTube Link
MileDown::General_Chemistry::Periodic_Table::Periodic_Trends [...] is the amount of energy required to remove an electron	MileDown::General_Chemistry::Periodic_Table::Periodic_Trends     Ionization energy is the amount of energy required to remove an electron               Khan Academy Link
MileDown::General_Chemistry::Periodic_Table::Periodic_Trends  What is the periodic trend for ionization energy?   [...]	MileDown::General_Chemistry::Periodic_Table::Periodic_Trends      What is the periodic trend for ionization energy?                Khan Academy Link
MileDown::General_Chemistry::Periodic_Table::Periodic_Trends [...] is the amount of energy released when an electron is added to the atom	MileDown::General_Chemistry::Periodic_Table::Periodic_Trends     Electron affinity is the amount of energy released when an electron is added to the atom               Khan Academy Link
MileDown::General_Chemistry::Periodic_Table::Periodic_Trends  What is the periodic trend for electron affinity?   [...]	MileDown::General_Chemistry::Periodic_Table::Periodic_Trends      What is the periodic trend for electron affinity?                Khan Academy Link
MileDown::General_Chemistry::Periodic_Table::Periodic_Trends [...] is a measure of how strongly atoms attract electrons	MileDown::General_Chemistry::Periodic_Table::Periodic_Trends     Electronegativity is a measure of how strongly atoms attract electrons               Khan Academy Link
MileDown::General_Chemistry::Periodic_Table::Periodic_Trends  What is the periodic trend for electronegativity?   [...]	MileDown::General_Chemistry::Periodic_Table::Periodic_Trends      What is the periodic trend for electronegativity?                 Khan Academy Link
MileDown::General_Chemistry::Periodic_Table::Periodic_Trends  What is the periodic trend for atomic size?   [...]	MileDown::General_Chemistry::Periodic_Table::Periodic_Trends      What is the periodic trend for atomic size?                Khan Academy Link
MileDown::General_Chemistry::Periodic_Table::Periodic_Trends   Give the approximate electronegativity values of H, C, N, O, and F   [...]	MileDown::General_Chemistry::Periodic_Table::Periodic_Trends       Give the approximate electronegativity values of H, C, N, O, and F                Khan Academy Link
MileDown::General_Chemistry::Bonding A/an [...] bond is the sharing of electrons between two elements	MileDown::General_Chemistry::Bonding     A/an covalent bond is the sharing of electrons between two elements              Khan Academy Link
MileDown::General_Chemistry::Bonding  [...] bonds are when a single atom provides both bonding electrons	MileDown::General_Chemistry::Bonding      Coordinate covalent bonds are when a single atom provides both bonding electrons             Most often found in Lewis acid-base chemistry     YouTube Link
MileDown::General_Chemistry::Bonding [...] bonds are formed by the complete transfer of valence electron(s) between atoms	MileDown::General_Chemistry::Bonding     Ionic bonds are formed by the complete transfer of valence electron(s) between atoms            Usually formed between an element with a low ionization energy and an element with a high electron affinity     Khan Academy Link
MileDown::General_Chemistry::Bonding [...] refers to the number of bonds between two atoms (single, double, or triple bond)	MileDown::General_Chemistry::Bonding     Bond order refers to the number of bonds between two atoms (single, double, or triple bond)               YouTube Link
MileDown::General_Chemistry::Bonding The greater the number of bonds (bond order) the [higher or lower] the bond strength and the [longer or shorter] the bond	MileDown::General_Chemistry::Bonding     The greater the number of bonds (bond order) the higher the bond strength and the shorter the bond                YouTube Link
MileDown::General_Chemistry::Bonding Non-polar bonds have a △EN that is [...]	MileDown::General_Chemistry::Bonding     Non-polar bonds have a △EN that is less than 0.5                Khan Academy Link
MileDown::General_Chemistry::Bonding Polar bonds have a △EN that is between [...] and [...]	MileDown::General_Chemistry::Bonding     Polar bonds have a △EN that is between 0.5 and 1.7                Khan Academy Link
MileDown::General_Chemistry::Bonding Cations are ions with a [...] charge	MileDown::General_Chemistry::Bonding     Cations are ions with a positive charge              Khan Academy Link
MileDown::General_Chemistry::Bonding Anions are ions with a [...] charge	MileDown::General_Chemistry::Bonding     Anions are ions with a negative charge              Khan Academy Link
MileDown::General_Chemistry::Bonding [...] are large, organized arrays of ions	MileDown::General_Chemistry::Bonding     Crystalline lattices are large, organized arrays of ions            Example: solid carbon     YouTube Link
MileDown::General_Chemistry::Intermolecular_Forces Hydrogen bonds are most often formed between hydrogen and the following elements: [...]	MileDown::General_Chemistry::Intermolecular_Forces     Hydrogen bonds are most often formed between hydrogen and the following elements: O, N and F            O-H, N-H, F-H      Khan Academy Link
MileDown::General_Chemistry::Intermolecular_Forces Van der Waals Forces is a general term that includes [...] forces and [...] forces	MileDown::General_Chemistry::Intermolecular_Forces     Van der Waals Forces is a general term that includes dipole-dipole forces and London dispersion forces                Khan Academy Link
MileDown::General_Chemistry::Intermolecular_Forces [...] forces are attractive forces between the positive end of one polar molecule and the negative end of another polar molecule	MileDown::General_Chemistry::Intermolecular_Forces     Dipole-dipole forces are attractive forces between the positive end of one polar molecule and the negative end of another polar molecule                Khan Academy Link
MileDown::General_Chemistry::Intermolecular_Forces [...] forces are temporary attractive forces created when a temporary dipole induces a dipole in a neighboring molecule	MileDown::General_Chemistry::Intermolecular_Forces     London dispersion forces are temporary attractive forces created when a temporary dipole induces a dipole in a neighboring molecule            The weakest intermolecular force       Khan Academy Link
MileDown::General_Chemistry::Intermolecular_Forces Place in order of strength:   hydrogen bonds, dipole-dipole forces, and London dispersion forces   [...]	MileDown::General_Chemistry::Intermolecular_Forces     Place in order of strength:   hydrogen bonds, dipole-dipole forces, and London dispersion forces                Khan Academy Link
MileDown::General_Chemistry::Bonding [...] bonds are formed by head-on overlapping between atomic orbitals	MileDown::General_Chemistry::Bonding     Sigma bonds are formed by head-on overlapping between atomic orbitals               Khan Academy Link
MileDown::General_Chemistry::Bonding [...] bonds are formed by lateral (side-by-side) overlap of atomic orbitals	MileDown::General_Chemistry::Bonding     Pi bonds are formed by lateral (side-by-side) overlap of atomic orbitals            The 2nd and 3rd bonds in double and triple bonds are pi bonds      Khan Academy Link
MileDown::General_Chemistry::Bonding [...] is the charge given to an individual element within a molecule	MileDown::General_Chemistry::Bonding     Formal charge is the charge given to an individual element within a molecule              Khan Academy Link
